  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                             Function                                                                                 FunctionSignature                                                                       
0x7fca05fa7dc0           1759            347   5.07    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_avx_unaligned_erms_rtm                                                         __memmove_avx_unaligned_erms_rtm                                                        
0x7fca05fa7d30           1903            309   6.16    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_avx_unaligned_rtm                                                              __memmove_avx_unaligned_rtm                                                             
0x7fca05fa68a0           2144            311   6.89    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_avx512_unaligned                                                           __memmove_chk_avx512_unaligned                                                          
0x7fca05fa6910           2032            349   5.82    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_avx512_unaligned_erms                                                      __memmove_chk_avx512_unaligned_erms                                                     
0x7fca05fa0910           1806            358   5.04    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_avx_unaligned_erms                                                         __memmove_chk_avx_unaligned_erms                                                        
0x7fca05ec4950             65             23   2.83    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_erms                                                                       __memmove_chk_erms                                                                      
0x7fca05faeea0           2139            307   6.97    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_evex_unaligned                                                             __memmove_chk_evex_unaligned                                                            
0x7fca05ec48e0           1650            293   5.63    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_sse2_unaligned                                                             __memmove_chk_sse2_unaligned                                                            
0x7fca05faef40           1979            342   5.79    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_evex_unaligned_erms                                                            __memmove_evex_unaligned_erms                                                           
0x7fca05ec4a00           1362            302   4.51    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_sse2_unaligned_erms                                                            __memmove_sse2_unaligned_erms                                                           
0x7fca05fa6890           2160            309   6.99    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx512_unaligned                                                               __mempcpy_avx512_unaligned                                                              
0x7fca05fa6900           2048            344   5.95    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx512_unaligned_erms                                                          __mempcpy_avx512_unaligned_erms                                                         
0x7fca05fa0890           1934            312   6.20    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx_unaligned                                                                  __mempcpy_avx_unaligned                                                                 
0x7fca05fa0900           1822            353   5.16    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx_unaligned_erms                                                             __mempcpy_avx_unaligned_erms                                                            
0x7fca05fa7d80           1823            349   5.22    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx_unaligned_erms_rtm                                                         __mempcpy_avx_unaligned_erms_rtm                                                        
0x7fca05fa7d10           1935            311   6.22    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx_unaligned_rtm                                                              __mempcpy_avx_unaligned_rtm                                                             
0x7fca05fa6880           2176            313   6.95    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_avx512_unaligned                                                           __mempcpy_chk_avx512_unaligned                                                          
0x7fca05fa68f0           2064            348   5.93    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_avx512_unaligned_erms                                                      __mempcpy_chk_avx512_unaligned_erms                                                     
0x7fca05fa0880           1950            316   6.17    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_avx_unaligned                                                              __mempcpy_chk_avx_unaligned                                                             
0x7fca05fa08f0           1838            357   5.15    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_avx_unaligned_erms                                                         __mempcpy_chk_avx_unaligned_erms                                                        
0x7fca05fa7d70           1839            353   5.21    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_avx_unaligned_erms_rtm                                                     __mempcpy_chk_avx_unaligned_erms_rtm                                                    
0x7fca05fa7d00           1951            315   6.19    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_avx_unaligned_rtm                                                          __mempcpy_chk_avx_unaligned_rtm                                                         
0x7fca05ec4920            113             25   4.52    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_erms                                                                       __mempcpy_chk_erms                                                                      
0x7fca05faee80           2171            309   7.03    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_evex_unaligned                                                             __mempcpy_chk_evex_unaligned                                                            
0x7fca05faeef0           2059            348   5.92    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_evex_unaligned_erms                                                        __mempcpy_chk_evex_unaligned_erms                                                       
0x7fca05ec48c0           1682            295   5.70    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_sse2_unaligned                                                             __mempcpy_chk_sse2_unaligned                                                            
0x7fca05ec49a0           1458            308   4.73    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_chk_sse2_unaligned_erms                                                        __mempcpy_chk_sse2_unaligned_erms                                                       
0x7fca05ec4930             97             21   4.62    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_erms                                                                           __mempcpy_erms                                                                          
0x7fca05faee90           2155            305   7.07    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_evex_unaligned                                                                 __mempcpy_evex_unaligned                                                                
0x7fca05faef00           2043            344   5.94    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_evex_unaligned_erms                                                            __mempcpy_evex_unaligned_erms                                                           
0x7fca05ec48d0           1666            291   5.73    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_sse2_unaligned                                                                 __mempcpy_sse2_unaligned                                                                
0x7fca05ec49b0           1442            304   4.74    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_sse2_unaligned_erms                                                            __mempcpy_sse2_unaligned_erms                                                           
0x7fca05fa4540            628            126   4.98    local    default ../sysdeps/x86_64/multiarch/memset-avx512-no-vzeroupper.S          __memset_avx512_no_vzeroupper                                                            __memset_avx512_no_vzeroupper                                                           
0x7fca05fa4530            644            130   4.95    local    default ../sysdeps/x86_64/multiarch/memset-avx512-no-vzeroupper.S          __memset_chk_avx512_no_vzeroupper                                                        __memset_chk_avx512_no_vzeroupper                                                       
0x7fca05fa88c0            256             13  19.69    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_avx2_erms_rtm                                                                   __memset_avx2_erms_rtm                                                                  
0x7fca05fa1080            444             71   6.25    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_avx2_unaligned                                                                  __memset_avx2_unaligned                                                                 
0x7fca05fa1100            316             80   3.95    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_avx2_unaligned_erms                                                             __memset_avx2_unaligned_erms                                                            
