  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x7114048b00ba             47              7   6.71  unknown    unknown ../../../../../libstdc++-v3/src/c++11/wlocale-inst.cc                    std::__use_cache<std::__numpunct_cache<wchar_t> >::operator().isra.0.cold                std::__use_cache<std::__numpunct_cache<wchar_t> >::operator().isra.0.cold               
0x71140499a290            556            137   4.06  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::_Dir::open_subdir                                                       std::filesystem::_Dir::open_subdir                                                      
0x71140499b2e0           1407            327   4.30  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::directory_iterator::directory_iterator                                  std::filesystem::directory_iterator::directory_iterator                                 
0x7114048b4e7c            217             40   5.42  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::directory_iterator::directory_iterator.cold                             std::filesystem::directory_iterator::directory_iterator.cold                            
0x71140499a4b0             12              4   3.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::directory_iterator::operator*                                           std::filesystem::directory_iterator::operator*                                          
0x71140499d1a0           2690            662   4.06  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::recursive_directory_iterator::__erase                                   std::filesystem::recursive_directory_iterator::__erase                                  
0x7114048b51fa            339             71   4.77  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::recursive_directory_iterator::__erase.cold                              std::filesystem::recursive_directory_iterator::__erase.cold                             
0x71140499c4f0           1414            412   3.43  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::recursive_directory_iterator::recursive_directory_iterator              std::filesystem::recursive_directory_iterator::recursive_directory_iterator             
0x7114048b4f56            182             44   4.14  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_dir.cc                      std::filesystem::recursive_directory_iterator::recursive_directory_iterator.cold         std::filesystem::recursive_directory_iterator::recursive_directory_iterator.cold        
0x71140499dd10            465            131   3.55  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...         std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...        
0x7114048b5402             81             22   3.68  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...         std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...        
0x7114049a28c0           4806           1044   4.60  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::canonical                                                               std::filesystem::canonical                                                              
0x7114048b6552            144             29   4.97  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::canonical.cold                                                          std::filesystem::canonical.cold                                                         
0x7114049a06f0           2678            632   4.24  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::copy                                                                    std::filesystem::copy                                                                   
0x7114048b6360             73             18   4.06  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::copy.cold                                                               std::filesystem::copy.cold                                                              
0x7114049a1ae0           2747            619   4.44  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::create_directories                                                      std::filesystem::create_directories                                                     
0x7114048b648c             55             12   4.58  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::create_directories.cold                                                 std::filesystem::create_directories.cold                                                
0x71140499ff50            599            153   3.92  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::current_path                                                            std::filesystem::current_path                                                           
0x7114048b61c8             49             12   4.08  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::current_path.cold                                                       std::filesystem::current_path.cold                                                      
0x7114049a4230            292             85   3.44  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x7114049a4f50            746            189   3.95  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x7114048b6744             44             10   4.40  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x7114048b67f2             62             14   4.43  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x71140499fa30            980            239   4.10  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::read_symlink                                                            std::filesystem::read_symlink                                                           
0x7114048b606f             53             13   4.08  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::read_symlink.cold                                                       std::filesystem::read_symlink.cold                                                      
