  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x7113ff65bc50             81             27   3.00   global    default libamd_comgr.so.2.6.60002                                                targ3c5bc50                                                                              targ3c5bc50                                                                             
0x7113ff65bcb0             78             28   2.79   global    default libamd_comgr.so.2.6.60002                                                targ3c5bcb0                                                                              targ3c5bcb0                                                                             
0x7113ff65bd00             78             29   2.69   global    default libamd_comgr.so.2.6.60002                                                targ3c5bd00                                                                              targ3c5bd00                                                                             
0x7113ff65bd50            359             90   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5bd50                                                                              targ3c5bd50                                                                             
0x7113ff65bec0             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5bec0                                                                              targ3c5bec0                                                                             
0x7113ff65bf10             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5bf10                                                                              targ3c5bf10                                                                             
0x7113ff65bf60            359             90   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5bf60                                                                              targ3c5bf60                                                                             
0x7113ff65c0d0            359             90   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5c0d0                                                                              targ3c5c0d0                                                                             
0x7113ff65c240             78             28   2.79   global    default libamd_comgr.so.2.6.60002                                                targ3c5c240                                                                              targ3c5c240                                                                             
0x7113ff65c290            383             94   4.07   global    default libamd_comgr.so.2.6.60002                                                targ3c5c290                                                                              targ3c5c290                                                                             
0x7113ff65c410             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5c410                                                                              targ3c5c410                                                                             
0x7113ff65c460             78             29   2.69   global    default libamd_comgr.so.2.6.60002                                                targ3c5c460                                                                              targ3c5c460                                                                             
0x7113ff65c4b0            359             90   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5c4b0                                                                              targ3c5c4b0                                                                             
0x7113ff65c620            402            107   3.76   global    default libamd_comgr.so.2.6.60002                                                targ3c5c620                                                                              targ3c5c620                                                                             
0x7113ff65c7c0            383             94   4.07   global    default libamd_comgr.so.2.6.60002                                                targ3c5c7c0                                                                              targ3c5c7c0                                                                             
0x7113ff65c940            391             98   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5c940                                                                              targ3c5c940                                                                             
0x7113ff65cad0            432            109   3.96   global    default libamd_comgr.so.2.6.60002                                                targ3c5cad0                                                                              targ3c5cad0                                                                             
0x7113ff65cc80             73             24   3.04   global    default libamd_comgr.so.2.6.60002                                                targ3c5cc80                                                                              targ3c5cc80                                                                             
0x7113ff65ccd0             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5ccd0                                                                              targ3c5ccd0                                                                             
0x7113ff65cd20            359             90   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5cd20                                                                              targ3c5cd20                                                                             
0x7113ff65ce90             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5ce90                                                                              targ3c5ce90                                                                             
0x7113ff65cee0             78             28   2.79   global    default libamd_comgr.so.2.6.60002                                                targ3c5cee0                                                                              targ3c5cee0                                                                             
0x7113ff65cf30             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5cf30                                                                              targ3c5cf30                                                                             
0x7113ff65cf80             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5cf80                                                                              targ3c5cf80                                                                             
0x7113ff65cfd0             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5cfd0                                                                              targ3c5cfd0                                                                             
0x7113ff65d020             81             28   2.89   global    default libamd_comgr.so.2.6.60002                                                targ3c5d020                                                                              targ3c5d020                                                                             
0x7113ff65d080            105             34   3.09   global    default libamd_comgr.so.2.6.60002                                                targ3c5d080                                                                              targ3c5d080                                                                             
0x7113ff65d0f0             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5d0f0                                                                              targ3c5d0f0                                                                             
0x7113ff65d140            359             90   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5d140                                                                              targ3c5d140                                                                             
0x7113ff65d2b0             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5d2b0                                                                              targ3c5d2b0                                                                             
0x7113ff65d300            100             36   2.78   global    default libamd_comgr.so.2.6.60002                                                targ3c5d300                                                                              targ3c5d300                                                                             
0x7113ff65d370            359             90   3.99   global    default libamd_comgr.so.2.6.60002                                                targ3c5d370                                                                              targ3c5d370                                                                             
0x7113ff65d4e0             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5d4e0                                                                              targ3c5d4e0                                                                             
0x7113ff65d530            522            127   4.11   global    default libamd_comgr.so.2.6.60002                                                targ3c5d530                                                                              targ3c5d530                                                                             
0x7113ff65d740             73             25   2.92   global    default libamd_comgr.so.2.6.60002                                                targ3c5d740                                                                              targ3c5d740                                                                             
0x7113ff65d790             73             26   2.81   global    default libamd_comgr.so.2.6.60002                                                targ3c5d790                                                                              targ3c5d790                                                                             
0x7113ff65d7e0            383             94   4.07   global    default libamd_comgr.so.2.6.60002                                                targ3c5d7e0                                                                              targ3c5d7e0                                                                             
0x7113ff65d960            383             94   4.07   global    default libamd_comgr.so.2.6.60002                                                targ3c5d960                                                                              targ3c5d960                                                                             
0x7113ff65dae0            739            172   4.30   global    default libamd_comgr.so.2.6.60002                                                targ3c5dae0                                                                              targ3c5dae0                                                                             
0x7113ff65ddd0            110             34   3.24   global    default libamd_comgr.so.2.6.60002                                                targ3c5ddd0                                                                              targ3c5ddd0                                                                             
0x7113ff661080           5704           4688   1.22   global    default libamd_comgr.so.2.6.60002                                                targ3c61080                                                                              targ3c61080                                                                             
0x7113ff6626d0        3231450           2191 1474.87   global    default libamd_comgr.so.2.6.60002                                                targ3c626d0                                                                              targ3c626d0                                                                             
0x7113ff66a190            801            187   4.28   global    default libamd_comgr.so.2.6.60002                                                targ3c6a190                                                                              targ3c6a190                                                                             
0x7113ff66c800         603161            170 3548.01   global    default libamd_comgr.so.2.6.60002                                                targ3c6c800                                                                              targ3c6c800                                                                             
0x7113ff66cf10            613            184   3.33   global    default libamd_comgr.so.2.6.60002                                                targ3c6cf10                                                                              targ3c6cf10                                                                             
0x7113ff66d790            446            155   2.88   global    default libamd_comgr.so.2.6.60002                                                targ3c6d790                                                                              targ3c6d790                                                                             
0x7113ff66eb10            289           1045   0.28   global    default libamd_comgr.so.2.6.60002                                                targ3c6eb10                                                                              targ3c6eb10                                                                             
0x7113ff6742f0           2254           1563   1.44   global    default libamd_comgr.so.2.6.60002                                                targ3c742f0                                                                              targ3c742f0                                                                             
0x7113ff674bc0           1731            401   4.32   global    default libamd_comgr.so.2.6.60002                                                targ3c74bc0                                                                              targ3c74bc0                                                                             
0x7113ff675290           3511            743   4.73   global    default libamd_comgr.so.2.6.60002                                                targ3c75290                                                                              targ3c75290                                                                             
0x7113ff676050            809           1376   0.59   global    default libamd_comgr.so.2.6.60002                                                targ3c76050                                                                              targ3c76050                                                                             
0x7113ff67a1f0            644            372   1.73   global    default libamd_comgr.so.2.6.60002                                                targ3c7a1f0                                                                              targ3c7a1f0                                                                             
0x7113ff67a480         679166           3108 218.52   global    default libamd_comgr.so.2.6.60002                                                targ3c7a480                                                                              targ3c7a480                                                                             
0x7113ff67dab0             95             32   2.97   global    default libamd_comgr.so.2.6.60002                                                targ3c7dab0                                                                              targ3c7dab0                                                                             
0x7113ff67db10            132             45   2.93   global    default libamd_comgr.so.2.6.60002                                                targ3c7db10                                                                              targ3c7db10                                                                             
0x7113ff67fb10        3228350           1408 2292.86   global    default libamd_comgr.so.2.6.60002                                                targ3c7fb10                                                                              targ3c7fb10                                                                             
0x7113ff683cb0           2384            648   3.68   global    default libamd_comgr.so.2.6.60002                                                targ3c83cb0                                                                              targ3c83cb0                                                                             
0x7113ff686e50            177             52   3.40   global    default libamd_comgr.so.2.6.60002                                                targ3c86e50                                                                              targ3c86e50                                                                             
0x7113ff686f10            936            419   2.23   global    default libamd_comgr.so.2.6.60002                                                targ3c86f10                                                                              targ3c86f10                                                                             
0x7113ff6879d0            177             53   3.34   global    default libamd_comgr.so.2.6.60002                                                targ3c879d0                                                                              targ3c879d0                                                                             
0x7113ff687a90             72             24   3.00   global    default libamd_comgr.so.2.6.60002                                                targ3c87a90                                                                              targ3c87a90                                                                             
0x7113ff687ae0             80             26   3.08   global    default libamd_comgr.so.2.6.60002                                                targ3c87ae0                                                                              targ3c87ae0                                                                             
0x7113ff687b30             74             25   2.96   global    default libamd_comgr.so.2.6.60002                                                targ3c87b30                                                                              targ3c87b30                                                                             
0x7113ff6884f0            224             72   3.11   global    default libamd_comgr.so.2.6.60002                                                targ3c884f0                                                                              targ3c884f0                                                                             
0x7113ff6885d0            173             57   3.04   global    default libamd_comgr.so.2.6.60002                                                targ3c885d0                                                                              targ3c885d0                                                                             
0x7113ff688680            232             73   3.18   global    default libamd_comgr.so.2.6.60002                                                targ3c88680                                                                              targ3c88680                                                                             
0x7113ff688770            279             71   3.93   global    default libamd_comgr.so.2.6.60002                                                targ3c88770                                                                              targ3c88770                                                                             
0x7113ff688890            182             48   3.79   global    default libamd_comgr.so.2.6.60002                                                targ3c88890                                                                              targ3c88890                                                                             
0x7113ff688950            323             84   3.85   global    default libamd_comgr.so.2.6.60002                                                targ3c88950                                                                              targ3c88950                                                                             
0x7113ff688aa0            210             54   3.89   global    default libamd_comgr.so.2.6.60002                                                targ3c88aa0                                                                              targ3c88aa0                                                                             
0x7113ff688b80            191             49   3.90   global    default libamd_comgr.so.2.6.60002                                                targ3c88b80                                                                              targ3c88b80                                                                             
0x7113ff688c40           1380            332   4.16   global    default libamd_comgr.so.2.6.60002                                                targ3c88c40                                                                              targ3c88c40                                                                             
0x7113ff68a580           1179            284   4.15   global    default libamd_comgr.so.2.6.60002                                                targ3c8a580                                                                              targ3c8a580                                                                             
0x7113ff68ade0           1508            321   4.70   global    default libamd_comgr.so.2.6.60002                                                targ3c8ade0                                                                              targ3c8ade0                                                                             
0x7113ff68b3d0           1540            325   4.74   global    default libamd_comgr.so.2.6.60002                                                targ3c8b3d0                                                                              targ3c8b3d0                                                                             
0x7113ff68b9e0           1508            321   4.70   global    default libamd_comgr.so.2.6.60002                                                targ3c8b9e0                                                                              targ3c8b9e0                                                                             
0x7113ff68bfd0            180             51   3.53   global    default libamd_comgr.so.2.6.60002                                                targ3c8bfd0                                                                              targ3c8bfd0                                                                             
0x7113ff68c500             94             31   3.03   global    default libamd_comgr.so.2.6.60002                                                targ3c8c500                                                                              targ3c8c500                                                                             
0x7113ff68c560            123             41   3.00   global    default libamd_comgr.so.2.6.60002                                                targ3c8c560                                                                              targ3c8c560                                                                             
0x7113ff68c780              9             99   0.09   global    default libamd_comgr.so.2.6.60002                                                targ3c8c780                                                                              targ3c8c780                                                                             
0x7113ff68c790              9             99   0.09   global    default libamd_comgr.so.2.6.60002                                                targ3c8c790                                                                              targ3c8c790                                                                             
0x7113ff68c7a0              9             99   0.09   global    default libamd_comgr.so.2.6.60002                                                targ3c8c7a0                                                                              targ3c8c7a0                                                                             
0x7113ff68c7b0              9             99   0.09   global    default libamd_comgr.so.2.6.60002                                                targ3c8c7b0                                                                              targ3c8c7b0                                                                             
0x7113ff68c7c0              9             99   0.09   global    default libamd_comgr.so.2.6.60002                                                targ3c8c7c0                                                                              targ3c8c7c0                                                                             
0x7113ff68c7d0            131             41   3.20   global    default libamd_comgr.so.2.6.60002                                                targ3c8c7d0                                                                              targ3c8c7d0                                                                             
0x7113ff68c860            168             57   2.95   global    default libamd_comgr.so.2.6.60002                                                targ3c8c860                                                                              targ3c8c860                                                                             
0x7113ff68c910            123             39   3.15   global    default libamd_comgr.so.2.6.60002                                                targ3c8c910                                                                              targ3c8c910                                                                             
0x7113ff68c990             92             28   3.29   global    default libamd_comgr.so.2.6.60002                                                targ3c8c990                                                                              targ3c8c990                                                                             
0x7113ff68c9f0            101             33   3.06   global    default libamd_comgr.so.2.6.60002                                                targ3c8c9f0                                                                              targ3c8c9f0                                                                             
0x7113ff68ca60            220             64   3.44   global    default libamd_comgr.so.2.6.60002                                                targ3c8ca60                                                                              targ3c8ca60                                                                             
0x7113ff68d010            451            127   3.55   global    default libamd_comgr.so.2.6.60002                                                targ3c8d010                                                                              targ3c8d010                                                                             
0x7113ff68f5e0           1537            322   4.77   global    default libamd_comgr.so.2.6.60002                                                targ3c8f5e0                                                                              targ3c8f5e0                                                                             
0x7113ff693b20           1309            310   4.22   global    default libamd_comgr.so.2.6.60002                                                targ3c93b20                                                                              targ3c93b20                                                                             
0x7113ff6945e0            350             86   4.07   global    default libamd_comgr.so.2.6.60002                                                targ3c945e0                                                                              targ3c945e0                                                                             
0x7113ff6955a0            243             68   3.57   global    default libamd_comgr.so.2.6.60002                                                targ3c955a0                                                                              targ3c955a0                                                                             
0x7113ff6956a0            787            193   4.08   global    default libamd_comgr.so.2.6.60002                                                targ3c956a0                                                                              targ3c956a0                                                                             
0x7113ff695c20           1402            328   4.27   global    default libamd_comgr.so.2.6.60002                                                targ3c95c20                                                                              targ3c95c20                                                                             
0x7113ff696490             13              4   3.25   global    default libamd_comgr.so.2.6.60002                                                targ3c96490                                                                              targ3c96490                                                                             
0x7113ff6964a0           1255            300   4.18   global    default libamd_comgr.so.2.6.60002                                                targ3c964a0                                                                              targ3c964a0                                                                             
0x7113ff696990            484            132   3.67   global    default libamd_comgr.so.2.6.60002                                                targ3c96990                                                                              targ3c96990                                                                             
0x7113ff696b80           2518            556   4.53   global    default libamd_comgr.so.2.6.60002                                                targ3c96b80                                                                              targ3c96b80                                                                             
0x7113ff697ad0             96             32   3.00   global    default libamd_comgr.so.2.6.60002                                                targ3c97ad0                                                                              targ3c97ad0                                                                             
0x7113ff697b30           1221            264   4.62   global    default libamd_comgr.so.2.6.60002                                                targ3c97b30                                                                              targ3c97b30                                                                             
0x7113ff6984a0            427             98   4.36   global    default libamd_comgr.so.2.6.60002                                                targ3c984a0                                                                              targ3c984a0                                                                             
0x7113ff698b00            749            152   4.93   global    default libamd_comgr.so.2.6.60002                                                targ3c98b00                                                                              targ3c98b00                                                                             
0x7113ff699290            427             98   4.36   global    default libamd_comgr.so.2.6.60002                                                targ3c99290                                                                              targ3c99290                                                                             
0x7113ff699440       11308802           5497 2057.27   global    default libamd_comgr.so.2.6.60002                                                targ3c99440                                                                              targ3c99440                                                                             
0x7113ff699de0            970            235   4.13   global    default libamd_comgr.so.2.6.60002                                                targ3c99de0                                                                              targ3c99de0                                                                             
0x7113ff69a1b0            171             55   3.11   global    default libamd_comgr.so.2.6.60002                                                targ3c9a1b0                                                                              targ3c9a1b0                                                                             
0x7113ff69a260            641            153   4.19   global    default libamd_comgr.so.2.6.60002                                                targ3c9a260                                                                              targ3c9a260                                                                             
0x7113ff69a4f0            434            109   3.98   global    default libamd_comgr.so.2.6.60002                                                targ3c9a4f0                                                                              targ3c9a4f0                                                                             
0x7113ff69a810            328             90   3.64   global    default libamd_comgr.so.2.6.60002                                                targ3c9a810                                                                              targ3c9a810                                                                             
0x7113ff69a960            690            159   4.34   global    default libamd_comgr.so.2.6.60002                                                targ3c9a960                                                                              targ3c9a960                                                                             
0x7113ff69ac20            131             42   3.12   global    default libamd_comgr.so.2.6.60002                                                targ3c9ac20                                                                              targ3c9ac20                                                                             
0x7113ff69af30            402            108   3.72   global    default libamd_comgr.so.2.6.60002                                                targ3c9af30                                                                              targ3c9af30                                                                             
0x7113ff69b0d0            721            169   4.27   global    default libamd_comgr.so.2.6.60002                                                targ3c9b0d0                                                                              targ3c9b0d0                                                                             
0x7113ff69b3b0            123             41   3.00   global    default libamd_comgr.so.2.6.60002                                                targ3c9b3b0                                                                              targ3c9b3b0                                                                             
0x7113ff69b430            170             55   3.09   global    default libamd_comgr.so.2.6.60002                                                targ3c9b430                                                                              targ3c9b430                                                                             
0x7113ff69b4e0           1316            308   4.27   global    default libamd_comgr.so.2.6.60002                                                targ3c9b4e0                                                                              targ3c9b4e0                                                                             
0x7113ff69ba10            211             60   3.52   global    default libamd_comgr.so.2.6.60002                                                targ3c9ba10                                                                              targ3c9ba10                                                                             
0x7113ff69baf0            184             54   3.41   global    default libamd_comgr.so.2.6.60002                                                targ3c9baf0                                                                              targ3c9baf0                                                                             
0x7113ff69bbb0             94             29   3.24   global    default libamd_comgr.so.2.6.60002                                                targ3c9bbb0                                                                              targ3c9bbb0                                                                             
0x7113ff69bc10            216             64   3.38   global    default libamd_comgr.so.2.6.60002                                                targ3c9bc10                                                                              targ3c9bc10                                                                             
0x7113ff69bcf0          22935           6669   3.44   global    default libamd_comgr.so.2.6.60002                                                targ3c9bcf0                                                                              targ3c9bcf0                                                                             
0x7113ff69c1d0            277             86   3.22   global    default libamd_comgr.so.2.6.60002                                                targ3c9c1d0                                                                              targ3c9c1d0                                                                             
0x7113ff69c580            197             55   3.58   global    default libamd_comgr.so.2.6.60002                                                targ3c9c580                                                                              targ3c9c580                                                                             
0x7113ff69c660            724            164   4.41   global    default libamd_comgr.so.2.6.60002                                                targ3c9c660                                                                              targ3c9c660                                                                             
0x7113ff69c9f0            139             44   3.16   global    default libamd_comgr.so.2.6.60002                                                targ3c9c9f0                                                                              targ3c9c9f0                                                                             
0x7113ff69cc00            429            107   4.01   global    default libamd_comgr.so.2.6.60002                                                targ3c9cc00                                                                              targ3c9cc00                                                                             
0x7113ff69cdb0           1335            337   3.96   global    default libamd_comgr.so.2.6.60002                                                targ3c9cdb0                                                                              targ3c9cdb0                                                                             
0x7113ff69d2f0           1089            253   4.30   global    default libamd_comgr.so.2.6.60002                                                targ3c9d2f0                                                                              targ3c9d2f0                                                                             
0x7113ff69d740            885            215   4.12   global    default libamd_comgr.so.2.6.60002                                                targ3c9d740                                                                              targ3c9d740                                                                             
0x7113ff69dac0            147             48   3.06   global    default libamd_comgr.so.2.6.60002                                                targ3c9dac0                                                                              targ3c9dac0                                                                             
0x7113ff69db60            551            145   3.80   global    default libamd_comgr.so.2.6.60002                                                targ3c9db60                                                                              targ3c9db60                                                                             
0x7113ff69dd90            951            249   3.82   global    default libamd_comgr.so.2.6.60002                                                targ3c9dd90                                                                              targ3c9dd90                                                                             
0x7113ff69e550            143             37   3.86   global    default libamd_comgr.so.2.6.60002                                                targ3c9e550                                                                              targ3c9e550                                                                             
0x7113ff69e5e0            143             37   3.86   global    default libamd_comgr.so.2.6.60002                                                targ3c9e5e0                                                                              targ3c9e5e0                                                                             
0x7113ff69e670            143             37   3.86   global    default libamd_comgr.so.2.6.60002                                                targ3c9e670                                                                              targ3c9e670                                                                             
0x7113ff69e700            143             37   3.86   global    default libamd_comgr.so.2.6.60002                                                targ3c9e700                                                                              targ3c9e700                                                                             
0x7113ff69e790            136             38   3.58   global    default libamd_comgr.so.2.6.60002                                                targ3c9e790                                                                              targ3c9e790                                                                             
