  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                                   Function                                                                                 FunctionSignature                                                                       
0x1499d797ce10            737            187   3.94  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x1499d7895a57             44             10   4.40  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x1499d7895b05             62             14   4.43  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x1499d7977870            982            241   4.07  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::read_symlink                                                            std::filesystem::read_symlink                                                           
0x1499d789532a             53             13   4.08  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::read_symlink.cold                                                       std::filesystem::read_symlink.cold                                                      
0x1499d797c270            292             83   3.52  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::relative                                                                std::filesystem::relative                                                               
0x1499d7895a83             44             10   4.40  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::relative.cold                                                           std::filesystem::relative.cold                                                          
0x1499d7977160            227             72   3.15  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::remove_all                                                              std::filesystem::remove_all                                                             
0x1499d7894e3f            160             37   4.32  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::remove_all.cold                                                         std::filesystem::remove_all.cold                                                        
0x1499d7977570            675            179   3.77  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::temp_directory_path                                                     std::filesystem::temp_directory_path                                                    
0x1499d7895278             24              6   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::temp_directory_path.cold                                                std::filesystem::temp_directory_path.cold                                               
0x1499d797bb00           1600            381   4.20  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x1499d797c3a0           2662            591   4.50  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x1499d7895a01             59             13   4.54  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x1499d7895aaf             64             13   4.92  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x1499d79846b0            476            126   3.78  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x1499d7984d00            369            111   3.32  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x1499d7984e80            505            139   3.63  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x1499d789629c             92             20   4.60  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x1499d7896428             34              8   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x1499d7896474             34              8   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x1499d79815a0            389            111   3.50  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_List::_List                                                      std::filesystem::path::_List::_List                                                     
0x1499d7895dee             72             17   4.24  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_List::_List.cold                                                 std::filesystem::path::_List::_List.cold                                                
0x1499d7981730           1316            350   3.76  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_List::operator=                                                  std::filesystem::path::_List::operator=                                                 
0x1499d7895e36             58             13   4.46  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_List::operator=.cold                                             std::filesystem::path::_List::operator=.cold                                            
0x1499d7980ad0           2610            644   4.05  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_M_append                                                         std::filesystem::path::_M_append                                                        
0x1499d7895d00            186             23   8.09  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_M_append.cold                                                    std::filesystem::path::_M_append.cold                                                   
0x1499d797fcf0           3101            777   3.99  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_M_concat                                                         std::filesystem::path::_M_concat                                                        
0x1499d7895b92             26              6   4.33  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_M_concat.cold                                                    std::filesystem::path::_M_concat.cold                                                   
0x1499d7984b70            385            117   3.29  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_S_convert_loc                                                    std::filesystem::path::_S_convert_loc                                                   
0x1499d789638c            156             37   4.22  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_S_convert_loc.cold                                               std::filesystem::path::_S_convert_loc.cold                                              
0x1499d79839b0           2668            617   4.32  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::lexically_normal                                                  std::filesystem::path::lexically_normal                                                 
0x1499d7896266             34              8   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::lexically_normal.cold                                             std::filesystem::path::lexically_normal.cold                                            
0x1499d7982250           1699            402   4.23  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::lexically_relative                                                std::filesystem::path::lexically_relative                                               
0x1499d7895f96             64             12   5.33  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::lexically_relative.cold                                           std::filesystem::path::lexically_relative.cold                                          
0x1499d7982ff0           2181            624   3.50  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::operator+=                                                        std::filesystem::path::operator+=                                                       
0x1499d789607e             41              9   4.56  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::operator+=.cold                                                   std::filesystem::path::operator+=.cold                                                  
0x1499d7981e50            966            292   3.31  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::operator/=                                                        std::filesystem::path::operator/=                                                       
0x1499d7895ede            184             36   5.11  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::operator/=.cold                                                   std::filesystem::path::operator/=.cold                                                  
0x1499d7980910            441            117   3.77  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::operator=<char [2]>.isra.0                                        std::filesystem::path::operator=<char [2]>.isra.0                                       
0x1499d7895ce8             24              6   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::operator=<char [2]>.isra.0.cold                                   std::filesystem::path::operator=<char [2]>.isra.0.cold                                  
0x1499d7982d20            618            171   3.61  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::parent_path                                                       std::filesystem::path::parent_path                                                      
0x1499d7896034             48             12   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::parent_path.cold                                                  std::filesystem::path::parent_path.cold                                                 
0x1499d7982a40            726            197   3.69  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::relative_path                                                     std::filesystem::path::relative_path                                                    
0x1499d7896004             48             12   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::relative_path.cold                                                std::filesystem::path::relative_path.cold                                               
0x1499d7950860           1792            397   4.51  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::(anonymous namespace)::from_chars_strtod<long double>                               std::(anonymous namespace)::from_chars_strtod<long double>                              
0x1499d7891b80         782329             49 15965.90  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::(anonymous namespace)::from_chars_strtod<long double>.cold                          std::(anonymous namespace)::from_chars_strtod<long double>.cold                         
0x1499d795d7e0           1255            271   4.63  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::directory_iterator::directory_iterator                         std::filesystem::__cxx11::directory_iterator::directory_iterator                        
0x1499d7891c78            222             40   5.55  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::directory_iterator::directory_iterator.cold                    std::filesystem::__cxx11::directory_iterator::directory_iterator.cold                   
0x1499d795e5e0           1518            403   3.77  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...         std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...        
0x1499d7891e5e            474             46  10.30  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...         std::filesystem::__cxx11::recursive_directory_iterator::recursive_directory_i...        
0x1499d7964a60            549            142   3.87  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...         std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...        
0x1499d789333b            115             24   4.79  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...         std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...        
0x1499d7964c90           5278           1093   4.83  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::canonical                                                               std::filesystem::canonical                                                              
0x1499d78933ae            111             21   5.29  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::canonical.cold                                                          std::filesystem::canonical.cold                                                         
