"Kind","Direction","Source_Agent_Id","Destination_Agent_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"MEMORY_COPY","MEMORY_COPY_HOST_TO_DEVICE",0,1,563,3271053148839,3271053212559
"MEMORY_COPY","MEMORY_COPY_HOST_TO_DEVICE",0,1,582,3271053398549,3271053483389
"MEMORY_COPY","MEMORY_COPY_DEVICE_TO_HOST",1,0,692,3271058502613,3271058576271
