"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,446,3271051862817,3271051862837
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,447,3271051863068,3271051863098
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,448,3271051863358,3271051863388
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,449,3271051863749,3271051863779
"HSA_CORE_API","hsa_executable_iterate_symbols",11789,11789,433,3271051859381,3271051863909
"HSA_CORE_API","hsa_executable_get_symbol_by_name",11789,11789,450,3271051867466,3271051867596
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,451,3271051867847,3271051867877
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,452,3271051868117,3271051868147
"HSA_CORE_API","hsa_agent_get_info",11789,11789,453,3271051868388,3271051868408
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,455,3271051868848,3271051868888
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,456,3271051869119,3271051869149
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,457,3271051869379,3271051869399
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,458,3271051869630,3271051869660
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,459,3271051869890,3271051869920
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,460,3271051870151,3271051870171
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,461,3271051871904,3271051871924
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,462,3271051872215,3271051872235
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,463,3271051872465,3271051872495
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,464,3271051872726,3271051872756
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,465,3271051872986,3271051873016
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,466,3271051873247,3271051873277
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,467,3271051873507,3271051873537
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,468,3271051873768,3271051873788
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,469,3271051874048,3271051874078
