Metric,Avg,Min,Max,Unit
Read BW,190.4887298747764,190.4887298747764,190.4887298747764,Bytes per wave
Write BW,34.64472271914132,34.64472271914132,34.64472271914132,Bytes per wave
Read (32B),0.0,0.0,0.0,Req per wave
Read (Uncached 32B),0.028145497912939774,0.028145497912939774,0.028145497912939774,Req per wave
Read (64B),2.976386404293381,2.976386404293381,2.976386404293381,Req per wave
HBM Read,2.9629099582587957,2.9629099582587957,2.9629099582587957,Req per wave
Write (32B),0.059391771019678,0.059391771019678,0.059391771019678,Req per wave
Write (Uncached 32B),0.0,0.0,0.0,Req per wave
Write (64B),0.5116279069767442,0.5116279069767442,0.5116279069767442,Req per wave
HBM Write,0.5872391174716756,0.5872391174716756,0.5872391174716756,Req per wave
Read Latency,294.5337981327884,294.5337981327884,294.5337981327884,Cycles
Write Latency,125.07059314954051,125.07059314954051,125.07059314954051,Cycles
Atomic Latency,,,,Cycles
Read Stall,0.0,0.0,0.0,Pct
Write Stall,0.0,0.0,0.0,Pct
