Metric,Avg,Min,Max,Unit
Kernel Time (Nanosec),351842.0,351842,351842,Ns
Kernel Time (Cycles),523750.0,523750,523750,Cycle
Instr/wavefront,3377.0,3377.0,3377.0,Instr/wavefront
Wave Cycles,188115.4991055456,188115.4991055456,188115.4991055456,Cycles/wave
Dependency Wait Cycles,148544.54144305308,148544.54144305308,148544.54144305308,Cycles/wave
Issue Wait Cycles,27878.500178890878,27878.500178890878,27878.500178890878,Cycles/wave
Active Cycles,12476.0,12476.0,12476.0,Cycles/wave
Wavefront Occupancy,3009.5415192936093,3009.5415192936093,3009.5415192936093,Wavefronts
