Metric,Avg,Min,Max,Unit
Total Req,8208.0,8208.0,8208.0,Req per wave
Read Req,8192.0,8192.0,8192.0,Req per wave
Write Req,16.0,16.0,16.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Cache BW,4581.073170731707,4581.073170731707,4581.073170731707,Gb/s
Cache Accesses,3080.0,3080.0,3080.0,Req per wave
Cache Hits,2033.5748360166965,2033.5748360166965,2033.5748360166965,Req per wave
Cache Hit Rate,66.02515701352911,66.02515701352911,66.02515701352911,Pct
Invalidate,0.01311866428145498,0.01311866428145498,0.01311866428145498,Req per wave
L1-L2 BW,66971.21049493142,66971.21049493142,66971.21049493142,Bytes per wave
L1-L2 Read,1038.4251639833035,1038.4251639833035,1038.4251639833035,Req per wave
L1-L2 Write,8.0,8.0,8.0,Req per wave
L1-L2 Atomic,0.0,0.0,0.0,Req per wave
L1 Access Latency,375.96991634323336,375.96991634323336,375.96991634323336,Cycles
L1-L2 Read Latency,184.2353940620372,184.2353940620372,184.2353940620372,Cycles
L1-L2 Write Latency,202.93767143709005,202.93767143709005,202.93767143709005,Cycles
