Metric,Avg,Min,Max,Unit
TA Busy,90.77085007593838,90.77085007593838,90.77085007593838,Pct
TC2TA Addr Stall,54.700157083966154,54.700157083966154,54.700157083966154,Pct
TC2TA Data Stall,0.013457149056194401,0.013457149056194401,0.013457149056194401,Pct
TD2TA Addr Stall,0.0,0.0,0.0,Pct
Total Instructions,513.0,513.0,513.0,Instr per wave
Flat Instr,513.0,513.0,513.0,Instr per wave
Flat Read Instr,512.0,512.0,512.0,Instr per wave
Flat Write Instr,1.0,1.0,1.0,Instr per wave
Flat Atomic Instr,0.0,0.0,0.0,Instr per wave
Buffer Instr,0.0,0.0,0.0,Instr per wave
Buffer Read Instr,0.0,0.0,0.0,Instr per wave
Buffer Write Instr,0.0,0.0,0.0,Instr per wave
Buffer Atomic Instr,0.0,0.0,0.0,Instr per wave
Buffer Total Cylces,0.0,0.0,0.0,Cycles per wave
Buffer Coalesced Read,0.0,0.0,0.0,Cycles per wave
Buffer Coalesced Write,0.0,0.0,0.0,Cycles per wave
