Metric,Mean,Min,Max,Units
Req,3080.0,3080.0,3080.0, per wave
Hit Ratio,99.98996739694414,99.98996739694414,99.98996739694414,Pct
Hits,3079.6909958258793,3079.6909958258793,3079.6909958258793, per wave
Misses (Translation),0.18998211091234346,0.18998211091234346,0.18998211091234346, per wave
Misses (Permission),0.0,0.0,0.0, per wave
