Channel,L2 Cache Hit Rate (%),Requests (Requests),L1-L2 Read (Requests),L1-L2 Write (Requests),L1-L2 Atomic (Requests),L2-EA Read (Requests),L2-EA Write (Requests),L2-EA Atomic (Requests),L2-EA Read Latency (Cycles),L2-EA Write Latency (Cycles),L2-EA Atomic Latency (Cycles),L2-EA Read Stall - IO (Cycles per),L2-EA Read Stall - GMI (Cycles per),L2-EA Read Stall - DRAM (Cycles per),L2-EA Write Stall - IO (Cycles per),L2-EA Write Stall - GMI (Cycles per),L2-EA Write Stall - DRAM (Cycles per),L2-EA Write Stall - Starve (Cycles per)
16,99.68760337906738,34.96923076923077,34.71926058437686,0.2499701848539058,0.0,0.09350029815146094,0.018127608825283244,0.0,277.21173469387753,114.46710526315789,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,99.68799497514884,34.936672629695884,34.68670244484198,0.2499701848539058,0.0,0.09302325581395349,0.012403100775193798,0.0,277.53333333333336,121.15384615384616,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,99.68589416837726,34.62707215265355,34.37710196779964,0.2499701848539058,0.0,0.09206917113893857,0.020155038759689922,0.0,435.690414507772,124.22485207100591,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,99.68659487048791,34.62838401908169,34.378413834227786,0.2499701848539058,0.0,0.09206917113893857,0.02313655336911151,0.0,295.2746113989637,139.11855670103094,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,99.68661321872331,34.6304114490161,34.380441264162194,0.2499701848539058,0.0,0.09874776386404294,0.024686940966010734,0.0,265.2572463768116,120.44927536231884,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,99.68658623528074,34.62742993440668,34.37745974955277,0.2499701848539058,0.0,0.09206917113893857,0.016457960644007157,0.0,295.35103626943004,126.9927536231884,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,99.68800030039358,34.93726893261777,34.68729874776386,0.2499701848539058,0.0,0.09970184853905784,0.015026833631484795,0.0,268.7643540669856,124.07936507936508,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,99.66895666745161,34.94490161001789,34.694931425163986,0.2499701848539058,0.0,0.09302325581395349,0.020870602265951103,0.0,303.625641025641,145.75428571428571,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,99.67487541040754,33.52689326177698,33.276923076923076,0.2499701848539058,0.0,0.09350029815146094,0.021228384019081694,0.0,450.61224489795916,117.87640449438203,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,99.65456089785735,33.557662492546214,33.30769230769231,0.2499701848539058,0.0,0.09338103756708407,0.016696481812760882,0.0,280.757343550447,129.32142857142858,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,99.67489391368683,33.528801431127015,33.27883124627311,0.2499701848539058,0.0,0.09302325581395349,0.012164579606440072,0.0,270.33076923076925,115.05882352941177,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,99.67471653869801,33.36386404293381,33.113893858079905,0.2499701848539058,0.0,0.09206917113893857,0.020632081097197375,0.0,291.08678756476684,140.4971098265896,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,99.67473397886128,33.36565295169947,33.11568276684556,0.2499701848539058,0.0,0.09206917113893857,0.02385211687537269,0.0,281.6411917098446,113.625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,99.67475025465983,33.36732259988074,33.117352415026836,0.2499701848539058,0.0,0.09206917113893857,0.02492546213476446,0.0,287.07124352331607,127.67942583732058,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,99.67473979183346,33.366249254621344,33.116279069767444,0.2499701848539058,0.0,0.09206917113893857,0.015742397137745976,0.0,279.93134715025906,118.93181818181819,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,99.6748603749422,33.52534287418008,33.275372689326176,0.2499701848539058,0.0,0.09302325581395349,0.0159809183064997,0.0,303.53076923076924,131.29850746268656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
