Channel,L2 Cache Hit Rate (%),Requests (Requests),L1-L2 Read (Requests),L1-L2 Write (Requests),L1-L2 Atomic (Requests),L2-EA Read (Requests),L2-EA Write (Requests),L2-EA Atomic (Requests),L2-EA Read Latency (Cycles),L2-EA Write Latency (Cycles),L2-EA Atomic Latency (Cycles),L2-EA Read Stall - IO (Cycles per),L2-EA Read Stall - GMI (Cycles per),L2-EA Read Stall - DRAM (Cycles per),L2-EA Write Stall - IO (Cycles per),L2-EA Write Stall - GMI (Cycles per),L2-EA Write Stall - DRAM (Cycles per),L2-EA Write Stall - Starve (Cycles per)
16,99.67248752163155,33.35527728085868,33.10530709600477,0.2499701848539058,0.0,0.09350029815146094,0.015623136553369112,0.0,265.4834183673469,107.01526717557252,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,99.67290672831575,33.32510435301133,33.075134168157426,0.2499701848539058,0.0,0.09970184853905784,0.02003577817531306,0.0,266.9569377990431,109.20833333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,99.67262300920613,33.1505068574836,32.9005366726297,0.2499701848539058,0.0,0.09206917113893857,0.020512820512820513,0.0,265.0997409326425,91.36627906976744,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,99.67264656260905,33.15289206917114,32.90292188431723,0.2499701848539058,0.0,0.09206917113893857,0.014072748956469887,0.0,294.4611398963731,105.14406779661017,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,99.67266422543723,33.15468097793679,32.904710793082884,0.2499701848539058,0.0,0.09206917113893857,0.028503279666070365,0.0,281.5945595854922,88.89958158995816,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,99.67265716053468,33.15396541443053,32.90399522957662,0.2499701848539058,0.0,0.09874776386404294,0.026475849731663684,0.0,264.5326086956522,108.92342342342343,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,99.6728973634955,33.32415026833632,33.07418008348241,0.2499701848539058,0.0,0.09302325581395349,0.012880143112701253,0.0,281.0692307692308,102.05555555555556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,99.67184838464952,33.32665474060823,33.076684555754326,0.2499701848539058,0.0,0.09302325581395349,0.012164579606440072,0.0,303.8871794871795,129.1764705882353,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,99.66386925470178,32.42909958258795,32.17912939773405,0.2499701848539058,0.0,0.09302325581395349,0.015623136553369112,0.0,270.85641025641024,92.31297709923665,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,99.66335039857695,32.4499701848539,32.2,0.2499701848539058,0.0,0.09373881932021468,0.0159809183064997,0.0,572.2442748091603,116.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,99.6638643100392,32.428622540250444,32.178652355396544,0.2499701848539058,0.0,0.09302325581395349,0.020512820512820513,0.0,271.19871794871796,97.48837209302326,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,99.66273687175477,32.17877161598092,31.928801431127013,0.2499701848539058,0.0,0.09206917113893857,0.022301729278473466,0.0,296.86917098445593,94.78609625668449,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,99.66277561608301,32.1824686940966,31.932498509242695,0.2499701848539058,0.0,0.09206917113893857,0.01621943947525343,0.0,280.19559585492226,98.06617647058823,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,99.66277811541141,32.18270721526535,31.93273703041145,0.2499701848539058,0.0,0.09206917113893857,0.02802623732856291,0.0,283.9365284974093,108.08085106382978,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,99.66276436864672,32.181395348837206,31.931425163983302,0.2499701848539058,0.0,0.09206917113893857,0.025163983303518187,0.0,275.8523316062176,104.70142180094787,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,99.66386801854978,32.428980322003575,32.179010137149675,0.2499701848539058,0.0,0.09302325581395349,0.011926058437686345,0.0,300.674358974359,127.29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
