Metric,Avg,Min,Max,Unit
Wave request Failed (CS),211767.0,211767,211767,Cycles
CS Stall,141149.0,141149,141149,Cycles
CS Stall Rate,26.318743403952222,26.318743403952222,26.318743403952222,Pct
Scratch Stall,0.0,0,0,Cycles
Insufficient SIMD Waveslots,5868576.0,5868576,5868576,Simd
Insufficient SIMD VGPRs,0.0,0,0,Simd
Insufficient SIMD SGPRs,0.0,0,0,Simd
Insufficient CU LDS,0.0,0,0,Cu
Insufficient CU Barries,0.0,0,0,Cu
Insufficient Bulky Resource,0.0,0,0,Cu
Reach CU Threadgroups Limit,0.0,0,0,Cycles
Reach CU Wave Limit,0.0,0,0,Cycles
VGPR Writes,4.0,4.0,4.0,Cycles/wave
SGPR Writes,3.0,3.0,3.0,Cycles/wave
