Metric,Mean,Min,Max,Units
Req,3080.0,3080.0,3080.0, per wave
Hit Ratio,99.98981251306833,99.98981251306833,99.98981251306833,Pct
Hits,3079.6862254025045,3079.6862254025045,3079.6862254025045, per wave
Misses (Translation),0.19439475253428742,0.19439475253428742,0.19439475253428742, per wave
Misses (Permission),0.003935599284436494,0.003935599284436494,0.003935599284436494, per wave
