Metric,Avg,Min,Max,Unit
Total Req,8208.0,8208.0,8208.0,Req per wave
Read Req,8192.0,8192.0,8192.0,Req per wave
Write Req,16.0,16.0,16.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Cache BW,4605.556143802141,4605.556143802141,4605.556143802141,Gb/s
Cache Accesses,3080.0,3080.0,3080.0,Req per wave
Cache Hits,2012.2127608825283,2012.2127608825283,2012.2127608825283,Req per wave
Cache Hit Rate,65.33158314553663,65.33158314553663,65.33158314553663,Pct
Invalidate,0.01311866428145498,0.01311866428145498,0.01311866428145498,Req per wave
L1-L2 BW,68338.38330351819,68338.38330351819,68338.38330351819,Bytes per wave
L1-L2 Read,1059.7872391174717,1059.7872391174717,1059.7872391174717,Req per wave
L1-L2 Write,8.0,8.0,8.0,Req per wave
L1-L2 Atomic,0.0,0.0,0.0,Req per wave
L1 Access Latency,383.84240655305524,383.84240655305524,383.84240655305524,Cycles
L1-L2 Read Latency,192.14327444578834,192.14327444578834,192.14327444578834,Cycles
L1-L2 Write Latency,210.1216756112105,210.1216756112105,210.1216756112105,Cycles
