Metric,Avg,Min,Max,Unit
Read BW,190.48109719737627,190.48109719737627,190.48109719737627,Bytes per wave
Write BW,36.94979129397734,36.94979129397734,36.94979129397734,Bytes per wave
Read (32B),0.0,0.0,0.0,Req per wave
Read (Uncached 32B),0.027906976744186046,0.027906976744186046,0.027906976744186046,Req per wave
Read (64B),2.9762671437090042,2.9762671437090042,2.9762671437090042,Req per wave
HBM Read,2.963029218843172,2.963029218843172,2.963029218843172,Req per wave
Write (32B),0.07799642218246869,0.07799642218246869,0.07799642218246869,Req per wave
Write (Uncached 32B),0.0,0.0,0.0,Req per wave
Write (64B),0.5383422778771616,0.5383422778771616,0.5383422778771616,Req per wave
HBM Write,0.5920095408467502,0.5920095408467502,0.5920095408467502,Req per wave
Read Latency,289.39088796281453,289.39088796281453,289.39088796281453,Cycles
Write Latency,116.34829721362229,116.34829721362229,116.34829721362229,Cycles
Atomic Latency,,,,Cycles
Read Stall,0.0,0.0,0.0,Pct
Write Stall,0.0,0.0,0.0,Pct
