"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,4,1,2761197,2761197,536640,16,"mat_mult(float*, float*, float*, unsigned long, unsigned long, unsigned long)",64,0,0,12,16,"GPUBusy",100.000000,2073124871698768,2073124872043728
1,1,4,1,2761197,2761197,536640,16,"mat_mult(float*, float*, float*, unsigned long, unsigned long, unsigned long)",64,0,0,12,16,"Wavefronts",8385.000000,2073124871698768,2073124872043728
