"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
1153,"__amd_rocclr_copyBufferRectAligned.kd",1,3,457,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590515884,2919590526842,2919590537101,2919590537555,10259
1154,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1383,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590549408,2919590557279,2919590575994,2919590581188,18715
1155,"__amd_rocclr_copyBufferRectAligned.kd",1,0,228,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590562172,2919590568300,2919590583008,2919590584864,14708
1156,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1385,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590590094,2919590598306,2919590612092,2919590613729,13786
1157,"__amd_rocclr_copyBufferRectAligned.kd",1,1,234,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590603900,2919590611611,2919590625678,2919590625551,14067
1158,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1387,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590630290,2919590638302,2919590654172,2919590654315,15870
1159,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1389,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590644337,2919590661345,2919590673168,2919590673722,11823
1160,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1390,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590665156,2919590675612,2919590688116,2919590693449,12504
1161,"__amd_rocclr_copyBufferRectAligned.kd",1,3,460,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590677639,2919590685671,2919590699577,2919590699961,13906
1162,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1393,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590712084,2919590720417,2919590732880,2919590733344,12463
1163,"__amd_rocclr_copyBufferRectAligned.kd",1,3,461,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590729026,2919590739773,2919590750794,2919590750988,11021
1164,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1395,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590759504,2919590767706,2919590780570,2919590781585,12864
1165,"__amd_rocclr_copyBufferRectAligned.kd",1,0,230,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590773901,2919590780851,2919590794436,2919590797175,13585
1166,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1397,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590800982,2919590808884,2919590832248,2919590834305,23364
1167,"__amd_rocclr_copyBufferRectAligned.kd",1,1,236,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590813035,2919590820746,2919590836335,2919590838022,15589
1168,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1399,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590842761,2919590850642,2919590868476,2919590868680,17834
1169,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1401,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590857539,2919590873886,2919590883905,2919590883989,10019
