"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
95,"__amd_rocclr_copyBufferRectAligned.kd",1,0,16,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612083373536,14612083394195,14612083440282,14612083448027,46087
96,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,122,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612083385288,14612083492781,14612083566620,14612083581589,73839
97,"__amd_rocclr_copyBufferRectAligned.kd",1,1,22,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612083486329,14612083507208,14612083556902,14612083564607,49694
98,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,124,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612083499343,14612083614410,14612083659696,14612083666238,45286
99,"__amd_rocclr_copyBufferRectAligned.kd",1,2,126,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612083609882,14612083702877,14612083738244,14612083746329,35367
100,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,128,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612083622265,14612083779722,14612083824707,14612083831059,44985
101,"__amd_rocclr_copyBufferRectAligned.kd",1,3,36,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612083696135,14612083718006,14612083750216,14612083761167,32210
102,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,131,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612083715110,14612083894779,14612083929524,14612083931839,34745
103,"__amd_rocclr_copyBufferRectAligned.kd",1,3,38,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612083865965,14612083886824,14612083911651,14612083916240,24827
104,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,133,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612083878869,14612083944352,14612083968077,14612083973458,23725
105,"__amd_rocclr_copyBufferRectAligned.kd",1,0,18,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612083941788,14612083958219,14612083972606,14612083988867,14387
106,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,135,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612083965773,14612083987434,14612084006750,14612084016980,19316
107,"__amd_rocclr_copyBufferRectAligned.kd",1,1,24,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612083985120,14612084045132,14612084061203,14612084064479,16071
108,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,137,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084051294,14612084062525,14612084084366,14612084087533,21841
109,"__amd_rocclr_copyBufferRectAligned.kd",1,2,139,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084061854,14612084100677,14612084117509,14612084122739,16832
110,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,142,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084077343,14612084145642,14612084170890,14612084176440,25248
111,"__amd_rocclr_copyBufferRectAligned.kd",1,3,40,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084098333,14612084112139,14612084124803,14612084151093,12664
112,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,145,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084124442,14612084200826,14612084237656,14612084240802,36830
113,"__amd_rocclr_copyBufferRectAligned.kd",1,3,42,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084189455,14612084199343,14612084220824,14612084225793,21481
114,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,147,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084203171,14612084253205,14612084281097,14612084301316,27892
115,"__amd_rocclr_copyBufferRectAligned.kd",1,0,20,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084252674,14612084262823,14612084280777,14612084283452,17954
116,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,149,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084266951,14612084298851,14612084329068,14612084331813,30217
117,"__amd_rocclr_copyBufferRectAligned.kd",1,1,26,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084299573,14612084308950,14612084329148,14612084344678,20198
118,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,151,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084310844,14612084347943,14612084365737,14612084370727,17794
119,"__amd_rocclr_copyBufferRectAligned.kd",1,2,153,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084347042,14612084382769,14612084399320,14612084402016,16551
120,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,155,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084374995,14612084415952,14612084442281,14612084453192,26329
121,"__amd_rocclr_copyBufferRectAligned.kd",1,3,44,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084398419,14612084408538,14612084424007,14612084428385,15469
122,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,158,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084413928,14612084467449,14612084495542,14612084497856,28093
123,"__amd_rocclr_copyBufferRectAligned.kd",1,3,46,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084455336,14612084477548,14612084495422,14612084511713,17874
