"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
23,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,41,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713087574,11705713093996,11705713106820,11705713107020,12824
24,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,43,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713154380,11705713159840,11705713173545,11705713173997,13705
25,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,45,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713220805,11705713227186,11705713239530,11705713240201,12344
26,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,47,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713286629,11705713293141,11705713306085,11705713306486,12944
27,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,49,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713355308,11705713361780,11705713374083,11705713374274,12303
28,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,51,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713419589,11705713427824,11705713440488,11705713440699,12664
29,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,53,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713485854,11705713535066,11705713547770,11705713548282,12704
30,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,55,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713604317,11705713610569,11705713624595,11705713624756,14026
31,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,57,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713673708,11705713681522,11705713694026,11705713694287,12504
32,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,59,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713740894,11705713747216,11705713759639,11705713759800,12423
33,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,61,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713807570,11705713813901,11705713827207,11705713827498,13306
34,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,63,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713874877,11705713881419,11705713893882,11705713894063,12463
35,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,65,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705713940320,11705713946601,11705713960628,11705713961019,14027
36,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,67,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714008468,11705714014770,11705714027394,11705714027915,12624
37,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,69,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714084762,11705714091224,11705714105411,11705714105682,14187
38,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,71,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714176515,11705714185832,11705714199578,11705714200119,13746
39,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,73,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714251005,11705714258960,11705714272505,11705714273027,13545
40,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,75,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714319955,11705714326246,11705714338750,11705714339251,12504
41,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,77,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714385188,11705714391539,11705714404283,11705714404565,12744
42,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,79,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714453597,11705714460008,11705714473354,11705714473625,13346
43,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,81,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705714522296,11705714528618,11705714542364,11705714542615,13746
