"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
384,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,150,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323114976709,11323114981879,11323114995304,11323114995675,13425
385,"__amd_rocclr_copyBufferRectAligned.kd",1,0,152,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115005484,11323115011745,11323115020562,11323115020973,8817
386,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,159,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115018298,11323115023167,11323115037153,11323115037504,13986
387,"__amd_rocclr_copyBufferRectAligned.kd",1,1,152,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115046742,11323115052723,11323115061379,11323115062071,8656
388,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,304,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115060558,11323115065146,11323115080175,11323115080516,15029
389,"__amd_rocclr_copyBufferRectAligned.kd",1,2,161,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115089773,11323115095874,11323115104611,11323115105353,8737
390,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,306,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115102377,11323115107216,11323115121603,11323115121824,14387
391,"__amd_rocclr_copyBufferRectAligned.kd",1,3,308,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115130771,11323115136812,11323115145628,11323115146140,8816
392,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,154,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115140860,11323115148273,11323115162460,11323115162841,14187
393,"__amd_rocclr_copyBufferRectAligned.kd",1,3,310,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115172019,11323115178040,11323115186776,11323115187328,8736
394,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,154,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115183711,11323115188980,11323115203247,11323115203468,14267
